dimemployee_fullname,dimemployee_firstname,finishedgoodsflag,dimreseller_ordermonth,factsales_freight,factsales_currencykey,dimdate_monthnumberofyear,productalternatekey,dimreseller_lastorderyear,dimgeography_city,dimsalesterritory_salesterritorykey,dimdate_monthname,dimreseller_yearopened,factsales_orderquantity,productsubcategoryname,dimemployee_gender,productsubcategoryalternatekey,dimdate_fiscalyear,dimemployee_salariedflag,factsales_extendedamount,factsales_ordertime,factsales_productstandardcost,dimreseller_businesstype,factsales_salesorderlinenumber,startdate,dimreseller_resellername_it,dimdate_daynumberofweek,dimgeography_latlong,factsales_productkey,enddate,productsubcategorykey,factsales_unitprice,dimdate_daynumberofyear,dimdate_calendaryear,dimemployee_title,sizeunitmeasurecode,dimreseller_resellerkey,surveyresponse,dimgeography_stateprovincename,dimreseller_addresslineone,dimgeography_countryregionname,dimemployee_maritalstatus,productline,dimemployee_status,dimdate_fulldatealternatekey,dimdate_fiscalsemester,dimreseller_bankname_it,dimgeography_stateprovincecode,productname_es,dimreseller_resellername,dimemployee_birthdate,dimdate_daynumberofmonth,dimemployee_phone,dimgeography_countryregioncode,dimgeography_latlong_geo_subregion,listprice,reorderpoint,dimgeography_latlong_geo_country,dimemployee_employeekey,dimemployee_lastname,productcategoryname,dimdate_fiscalquarter,dimemployee_employeenationalidalternatekey,dimgeography_latlong_geo_postcode,dimreseller_annualsales,dimreseller_minpaymentamount,factsales_salesamount,factsales_salesterritorykey,factsales_taxamt,dimdate_calendarquarter,safetystocklevel,daystomanufacture,dimgeography_latlong_geo_subregionid,factsales_totalproductcost,dimreseller_geographykey,description,dimemployee_emailaddress,dimemployee_salespersonflag,dimemployee_salesterritorykey,factsales_discountamount,dimreseller_productline,dimsalesterritory_salesterritorycountry,dimreseller_addresslinetwo,dimdate_weeknumberofyear,dimreseller_phone,factsales_shipdatekey,factsales_recordspec,factsales_employeekey,dimgeography_latlong_geo_city,d,status,class,dealerprice,factsales_salesordernumber,productname_zh_tw,size,dimsalesterritory_salesterritoryregion,dimreseller_bankname_de,dimreseller_bankname_zh_cn,factsales_carriertrackingnumber,standardcost,dimdate_daynameofweek,dimreseller_minpaymenttype,productcategorykey,productcategoryalternatekey,dimreseller_annualrevenue,factsales_revisionnumber,factsales_orderdatekey,modelname,weight,dimgeography_salesterritorykey,dimsalesterritory_salesterritorygroup,factsales_resellerkey,factsales_shiptime,dimemployee_baserate,factsales_unitpricediscountpct,factsales_duedatekey,factsales_orderduration_duration,style,dimreseller_orderfrequency,dimreseller_firstorderyear,dimemployee_startdate,dimemployee_currentflag,dimgeography_latlong_geo_region,dimgeography_latlong_geo_regionid,productname_it,dimdate_calendarsemester,dimemployee_departmentname,productname,factsales_promotionkey,dimreseller_numberemployees,weightunitmeasurecode,dimgeography_postalcode,factsales_customerponumer,sizerange,dimemployee_hiredate,dimreseller_bankname,dimgeography_geographykey,dimemployee_middlename,color,dimreseller_reselleralternatekey,productcategory,dimdate_datekey
Jillian  Carson,Jillian,,6,4.4994,100,12,TG-W091-L,2008,Garland,4,December,1972,4,Tights,F,24,2007,1,179.976,14:39:50.000Z,30.9334,Warehouse,21,,Vernice di alimentazione,6,32.920574 -96.62639,458,,24,44.994,335,2006,Sales Representative,,75,,Texas,Corporate Office,United States,S,,Current,00:00.,1,Primaria Banca e Riserva [it],TX,,Paint Supply,00:00.,1,517-555-0117,US,Dallas County,,,US,283,Carson,Clothing,Q2,615389812,75045,3000000,1000,179.976,4,14.3981,4,,,4684904,123.7336,580,,jillian0@advent,1,3,0,Mountain,United States,,49,358-555-0188,44:21.,SO48375-21,283,Garland,dimreseller_businesstype_ja,,,,SO48375,productname_zh_tw,,Southwest,Hausbank und Zur??ckhaltung [de],dimreseller_bankname_zh_cn,B5F1-4C2A-94,,Friday,3,3,3,300000,1,39:50.,,,4,North America,75,13:44:21.000Z,23.0769,0,00:00.,601471000,,Q,2005,00:00.,1,Texas,4736286,,2,Sales,Women's Tights,1,90,,75040,PO5597156214,,00:00.,Primary Bank & Reserve,580,,,AW00000075,24,00:00.
Lynn N Tsoflias,Lynn,,6,69.5997,6,3,BK-M68S-38,2008,Lavender Bay,9,March,1998,2,Mountain Bikes,F,1,2008,1,2783.988,04:45:35.000Z,1265.6195,Warehouse,20,,Budget Toy Store,7,,353,,1,1391.994,61,2008,Sales Representative,CM ,15,,New South Wales,25 Epping Road,Australia,S,,Current,00:00.,2,Bancario Internazionale [it],NSW,,Budget Toy Store,00:00.,1,1 (11) 500 555-,AU,,,,,296,Tsoflias,Bikes,Q3,758596752,,3000000,600,2783.988,9,222.719,1,,,,2531.239,6,,lynn0@adventure,1,9,0,Mountain,Australia,,10,1 (11) 500 555-0140,35:42.,SO65273-20,296,,dimreseller_businesstype_ja,,,,SO65273,productname_zh_tw,,Australia,International Bank [de],dimreseller_bankname_zh_cn,E3DE-4453-81,,Saturday,3,1,1,300000,1,45:35.,,,9,Pacific,15,14:35:42.000Z,23.0769,0,00:00.,553807000,,Q,2007,00:00.,1,,,,1,Sales,Mountain-200 Silver,1,52,LB ,2060,PO8033173482,,00:00.,International Bank,6,N,,AW00000015,1,00:00.
Garrett R Vargas,Garrett,,5,5.3991,19,2,SH-M897-S,2008,Toronto,6,February,1992,6,Shorts,M,22,2007,1,215.964,18:09:23.000Z,24.7459,Warehouse,18,,Bici e Moto,5,,445,,22,35.994,32,2007,Sales Representative,,12,,Ontario,22580 Free Street,Canada,M,,Current,00:00.,2,Primaria Banca e Riserva [it],ON,,Bikes and Motorbikes,00:00.,1,922-555-0165,CA,,,,,284,Vargas,Clothing,Q3,234474252,,1500000,,215.964,6,17.2771,1,,,,148.4754,96,,garrett1@advent,1,6,0,Road,Canada,,5,112-555-0191,41:03.,SO49100-18,284,,dimreseller_businesstype_ja,,,,SO49100,productname_zh_tw,,Canada,Hausbank und Zur??ckhaltung [de],dimreseller_bankname_zh_cn,BD42-4470-A8,,Thursday,,3,3,150000,1,09:23.,,,6,North America,12,13:41:03.000Z,23.0769,0,00:00.,588700000,,Q,2006,00:00.,1,,,,1,Sales,Men's Sports Shorts,1,49,,M4B 1V7,PO17603154869,,00:00.,Primary Bank & Reserve,96,R,,AW00000012,22,00:00.
Tsvi Michael Reiter,Tsvi,,5,94.3783,100,5,BK-R50R-48,2006,Savannah,5,May,1990,9,Road Bikes,M,2,2006,1,3775.1301,17:59:31.000Z,413.1463,Warehouse,12,,Vendita e servizi qualificati di riparazione,2,32.068658 -81.09258,328,,2,419.4589,121,2006,Sales Representative,CM ,584,,Georgia,Savannah Festival Outlet,United States,M,,Current,00:00.,2,Primaria Internazionale [it],GA,Carretera-650 Rojo [es],Qualified Sales and Repair Services,00:00.,1,664-555-0112,US,Chatham County,,,US,285,Reiter,Bikes,Q4,716374314,31401,3000000,,3775.1301,5,302.0104,2,,,4187390,3718.3167,426,,tsvi0@adventure,1,5,0,Road,United States,,18,475-555-0188,27:39.,SO46045-12,285,Savannah,dimreseller_businesstype_ja,,,,SO46045,productname_zh_tw,,Southeast,Prim?r International [de],dimreseller_bankname_zh_cn,9345-48CB-A5,,Monday,,1,1,300000,1,59:31.,,,5,North America,584,10:27:39.000Z,23.0769,0,00:00.,577688000,,Q,2005,00:00.,1,Georgia,4197000,Strada-650 Rosso [it],1,Sales,Road-650 Red,1,76,LB ,31401,PO16327127643,,00:00.,Primary International,426,Michael,,AW00000584,2,00:00.
Shu K Ito,Shu,TRUE,6,6.1374,100,6,HS-2451,2008,Park City,1,June,1972,4,Headsets,M,11,2007,1,245.496,22:01:16.000Z,45.4168,Warehouse,1,7/1/2006 0:00,Biciclette e accessori moda,6,40.726899 -111.53674,395,6/30/2007 0:00,11,61.374,152,2007,Sales Representative,,293,,Utah,Sports Store At Park City,United States,M,,Current,00:00.,2,Custode Della Banca [it],UT,,Fashionable Bikes and Accessories,00:00.,1,330-555-0120,US,Summit County,102.29,375,US,287,Ito,Components,Q4,139397894,84098,3000000,,245.496,1,19.6397,2,500,1,5782267,181.6672,597,Sealed cartridge keeps dirt out.,shu0@adventure-,1,4,0,Mountain,United States,,23,115-555-0113,59:28.,SO50678-1,287,Snyderville,dimreseller_businesstype_ja,,M ,61.374,SO50678,productname_zh_tw,,Northwest,Vormund Bank [de],dimreseller_bankname_zh_cn,CAED-407A-BA,45.4168,Friday,2,2,2,300000,1,01:16.,ML Headset,,1,North America,293,06:59:28.000Z,23.0769,0,00:00.,637092000,,Q,2005,00:00.,1,Utah,5549030,,1,Sales,ML Headset,1,90,,84098,PO13543174640,NA,00:00.,Guardian Bank,597,K,NA,AW00000293,11,00:00.
Jillian  Carson,Jillian,,6,19.5205,100,9,FR-R92B-44,2008,Dallas,4,September,1988,1,Road Frames,F,14,2007,1,780.8182,13:21:55.000Z,722.2568,Specialty Bike Shop,2,,Bike Store Terzo,6,32.787629 -96.79941,439,,14,780.8182,244,2006,Sales Representative,CM ,165,,Texas,2500 North Stemmons Freeway,United States,S,,Current,00:00.,1,Uniti Sicurezza [it],TX,HL Carretera Marco - Negro [es],Third Bike Store,00:00.,1,517-555-0117,US,Dallas County,,,US,283,Carson,Components,Q1,615389812,75270,1500000,,780.8182,4,62.4655,3,,,4684904,722.2568,578,,jillian0@advent,1,3,0,Road,United States,,36,383-555-0117,38:47.,SO47423-2,283,Dallas,dimreseller_businesstype_ja,,,,SO47423,productname_zh_tw,,Southwest,Vereint Sicherheit [de],dimreseller_bankname_zh_cn,091B-4715-B2,,Friday,1,2,2,150000,1,21:55.,,,4,North America,165,22:38:47.000Z,23.0769,0,00:00.,638212000,,A,2006,00:00.,1,Texas,4736286,Giocos Uomo Pantaloncini [it],2,Sales,HL Road Frame - Black,1,44,LB ,75201,PO3886127119,,00:00.,United Security,578,,,AW00000165,14,00:00.
Tete A Mensa-Annan,Tete,,6,11.7449,100,6,BK-R50R-48,2008,Tigard,1,June,1997,1,Road Bikes,M,2,2007,1,469.794,21:21:19.000Z,486.7066,Specialty Bike Shop,3,,Vendita Azienda di successo,6,45.43884 -122.78224,329,,2,469.794,152,2007,Sales Representative,CM ,692,,Oregon,7009 Sw Hall Blvd.,United States,M,,Current,00:00.,2,Custode Della Banca [it],OR,Carretera-650 Rojo [es],Successful Sales Company,00:00.,1,615-555-0153,US,Washington County,,,US,293,Mensa-Annan,Bikes,Q4,90836195,97223,1500000,,469.794,1,37.5835,2,,,5759333,486.7066,550,,tete0@adventure,1,1,0,Road,United States,,23,143-555-0113,34:55.,SO50669-3,293,Tigard,dimreseller_businesstype_ja,,,,SO50669,productname_zh_tw,,Northwest,Vormund Bank [de],dimreseller_bankname_zh_cn,CEEB-4329-BA,,Friday,2,1,1,150000,1,21:19.,,,1,North America,692,11:34:55.000Z,23.0769,0,00:00.,569616000,,A,2006,00:00.,1,Oregon,5744337,Strada-650 Rosso [it],1,Sales,Road-650 Red,1,46,LB ,97223,PO17487120000,,00:00.,Guardian Bank,550,A,,AW00000692,2,00:00.
Jos Edvaldo Saraiva,Jos,,6,91.1138,98,3,BK-T44U-50,2008,Gloucestershire,10,March,1990,5,Touring Bikes,M,3,2008,1,3644.55,14:05:19.000Z,755.1508,Value Added Reseller,6,,Strumenti e parti aziendali,7,,578,,3,728.91,61,2008,Sales Representative,CM ,52,,England,"Phoenix Way, Cirencester",United Kingdom,M,,Current,00:00.,2,Primaria Internazionale [it],ENG,,Instruments and Parts Company,00:00.,1,185-555-0169,GB,,,,,288,Saraiva,Bikes,Q3,399771412,,300000,600,3644.55,10,291.564,1,,,,3775.754,239,,jos?adventure,1,6,0,Touring,United Kingdom,,10,1 (11) 500 555-0155,21:37.,SO65282-6,288,,dimreseller_businesstype_ja,,,,SO65282,productname_zh_tw,,United Kingdom,Prim?r International [de],dimreseller_bankname_zh_cn,2628-4FDF-B1,,Saturday,3,1,1,30000,1,05:19.,,,10,Europe,52,05:21:37.000Z,23.0769,0,00:00.,659778000,,S,2007,00:00.,1,,,,1,Sales,Touring-2000 Blue,1,9,LB ,GL7 1RY,PO5713156786,,00:00.,Primary International,239,Edvaldo,,AW00000052,3,00:00.
Jillian  Carson,Jillian,,5,18.0649,100,5,FR-M94S-38,2008,Carol Stream,3,May,1990,1,Mountain Frames,F,12,2006,1,722.5949,18:39:00.000Z,623.8403,Warehouse,1,,Un sacco di Storehouse Bikes,2,41.918578 -88.13688,307,,12,722.5949,121,2006,Sales Representative,CM ,148,,Illinois,4255 East Lies Road,United States,S,,Current,00:00.,2,Bancario Internazionale [it],IL,HL Monta?a Marco - Plata [es],Lots of Bikes Storehouse,00:00.,1,517-555-0117,US,Dupage County,,,US,283,Carson,Components,Q4,615389812,60188,3000000,,722.5949,3,57.8076,2,,,4890213,623.8403,431,,jillian0@advent,1,3,0,Mountain,United States,,18,494-555-0134,59:53.,SO46078-1,283,Carol Stream,dimreseller_businesstype_ja,,,,SO46078,productname_zh_tw,,Central,International Bank [de],dimreseller_bankname_zh_cn,3D35-4FF6-92,,Monday,,2,2,300000,1,39:00.,,,3,North America,148,05:59:53.000Z,23.0769,0,00:00.,645653000,,Q,2005,00:00.,1,Illinois,4896861,HL Montagna Telaio - Argento [it],1,Sales,HL Mountain Frame - Silver,1,76,LB ,60188,PO2465131367,,00:00.,International Bank,431,,,AW00000148,12,00:00.
Jae B Pak,Jae,,6,60.2346,19,12,FR-T98U-60,2008,Vancouver,6,December,1987,4,Touring Frames,F,16,2008,1,2409.384,04:19:22.000Z,601.7437,Warehouse,5,,Campeggio e negozio di articoli sportivi,7,,500,,16,602.346,335,2007,Sales Representative,CM ,154,,British Columbia,400-25155 West Pender St,Canada,M,,Current,00:00.,1,Riserva di Sicurezza [it],BC,,Camping and Sports Store,00:00.,1,1 (11) 500 555-,CA,,,,,291,Pak,Components,Q2,668991357,,3000000,,2409.384,6,192.7507,4,,,,2406.9748,68,,jae0@adventure-,1,10,0,Touring,Canada,,49,193-555-0116,08:50.,SO58980-5,291,,dimreseller_businesstype_ja,,,,SO58980,productname_zh_tw,,Canada,Reserve Sicherheit [de],dimreseller_bankname_zh_cn,8985-4B66-AD,,Saturday,1,2,2,300000,1,19:22.,,,6,North America,154,02:08:50.000Z,23.0769,0,00:00.,596968000,,Q,2007,00:00.,1,,,,2,Sales,HL Touring Frame - Blue,1,80,LB ,V7L 4J4,PO18502175539,,00:00.,Reserve Security,68,B,,AW00000154,16,00:00.
